,Lineup#,Status,Score,Lineup,player1,player2,player3,player4,player5,player6,player7,player8,player9
0,1,Optimal,5136.3,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Austin_Ekeler_(23486006)', 'Derrick_Henry_(23486002)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Mike_Williams_(23486384)', 'Quintez_Cephus_(23486610)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Austin_Ekeler_(23486006),Derrick_Henry_(23486002),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Mike_Williams_(23486384),Quintez_Cephus_(23486610)
1,2,Optimal,5135.850000000001,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Jonathan_Taylor_(23486000)', 'Maxx_Williams_(23487080)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Mike_Williams_(23486384)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Jonathan_Taylor_(23486000),Maxx_Williams_(23487080),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Mike_Williams_(23486384)
2,3,Optimal,5135.84,"['DST_Vikings__(23487367)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Mike_Williams_(23486384)']",DST_Vikings__(23487367),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Mike_Williams_(23486384)
3,4,Optimal,5135.81,"['DST_Vikings__(23487367)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Mike_Williams_(23486384)']",DST_Vikings__(23487367),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Mike_Williams_(23486384)
4,5,Optimal,5135.68,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Hunter_Renfrow_(23486406)', 'Mike_Williams_(23486384)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Hunter_Renfrow_(23486406),Mike_Williams_(23486384)
5,6,Optimal,5135.56,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Mike_Williams_(23486384)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Mike_Williams_(23486384)
6,7,Optimal,5135.54,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Mike_Williams_(23486384)', 'Robert_Woods_(23486416)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Mike_Williams_(23486384),Robert_Woods_(23486416)
7,8,Optimal,5135.530000000001,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Mike_Williams_(23486384)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Mike_Williams_(23486384)
8,9,Optimal,5135.51,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Mike_Williams_(23486384)', 'Robert_Woods_(23486416)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Mike_Williams_(23486384),Robert_Woods_(23486416)
9,10,Optimal,5135.47,"['DST_Dolphins__(23487359)', 'Patrick_Mahomes_(23485906)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Maxx_Williams_(23487080)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Mike_Williams_(23486384)']",DST_Dolphins__(23487359),Patrick_Mahomes_(23485906),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Maxx_Williams_(23487080),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Mike_Williams_(23486384)
